_id,Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
2070,2021,10,Oct,Friday,Normal Weekday,Tram,129200
2075,2021,10,Oct,Friday,School Holiday Weekday,Tram,77100
2080,2021,10,Oct,Monday,Normal Weekday,Tram,92800
2085,2021,10,Oct,Saturday,Weekend,Tram,95550
2090,2021,10,Oct,Sunday,Weekend,Tram,73500
2095,2021,10,Oct,Thursday,Normal Weekday,Tram,108050
2100,2021,10,Oct,Tuesday,Normal Weekday,Tram,104450
2105,2021,10,Oct,Wednesday,Normal Weekday,Tram,110600
2110,2021,11,Nov,Friday,Normal Weekday,Tram,286100
2115,2021,11,Nov,Monday,Normal Weekday,Tram,232600
2120,2021,11,Nov,Saturday,Weekend,Tram,203600
2125,2021,11,Nov,Sunday,Weekend,Tram,154700
2130,2021,11,Nov,Thursday,Normal Weekday,Tram,268800
2135,2021,11,Nov,Tuesday,Normal Weekday,Tram,273650
2140,2021,11,Nov,Wednesday,Normal Weekday,Tram,252450
2145,2021,12,Dec,Friday,Normal Weekday,Tram,393450
2150,2021,12,Dec,Friday,School Holiday Weekday,Tram,168650
2155,2021,12,Dec,Monday,Normal Weekday,Tram,300950
2160,2021,12,Dec,Monday,School Holiday Weekday,Tram,303000
2165,2021,12,Dec,Saturday,Weekend,Tram,264300
2170,2021,12,Dec,Sunday,Weekend,Tram,197750
2175,2021,12,Dec,Thursday,Normal Weekday,Tram,346000
2180,2021,12,Dec,Thursday,School Holiday Weekday,Tram,242500
2185,2021,12,Dec,Tuesday,Normal Weekday,Tram,322950
2190,2021,12,Dec,Tuesday,School Holiday Weekday,Tram,319550
2195,2021,12,Dec,Wednesday,Normal Weekday,Tram,337650
2200,2021,12,Dec,Wednesday,School Holiday Weekday,Tram,265850
2205,2022,1,Jan,Friday,School Holiday Weekday,Tram,199400
2210,2022,1,Jan,Monday,Normal Weekday,Tram,224100
2215,2022,1,Jan,Monday,School Holiday Weekday,Tram,184000
2220,2022,1,Jan,Saturday,Weekend,Tram,163650
2225,2022,1,Jan,Sunday,Weekend,Tram,125400
2230,2022,1,Jan,Thursday,School Holiday Weekday,Tram,199250
2235,2022,1,Jan,Tuesday,School Holiday Weekday,Tram,199300
2240,2022,1,Jan,Wednesday,School Holiday Weekday,Tram,193700
2245,2022,2,Feb,Friday,Normal Weekday,Tram,331800
2250,2022,2,Feb,Monday,Normal Weekday,Tram,301600
2255,2022,2,Feb,Saturday,Weekend,Tram,262550
2260,2022,2,Feb,Sunday,Weekend,Tram,185850
